site_code,node,site_name,site_type,site_description
AB1,JDA,Abernathy Creek FWS Tech Cntr.,INT,Bridge over Abernathy Creek (WA.) at Abernathy Fish Technology Center (AFTC) Site is no longer active.
AB2,JDA,Abernathy Creek Farmers Bridge,INT,"Private bridge over Abernathy Creek (WA.) at rkm 3, 1.5 km downstream from Abernathy FTC"
AB3,JDA,Lower Abernathy Creek,INT,"Interrogation site to monitor/research: salmon and steelhead life cycles, juvenile coho life history diversity, contributions of the various juvenile coho life histories (fall migrants, winter migrants, spring (smolt) migrants) to adult escapement, improve SARs for coho and steelhead in the lower Columbia. Originally operated by USFWS from 2009-2019, reinstalled in 2022 by WDFW."
AB4,JDA,Abernathy Creek Hatch Channel,INT,An array of two antennas is located in the hatchery release channel on Abernathy Creek at the USFWS Abernathy Fish Technology Center. Site is no longer active.
AB5,JDA,Abernathy Creek Concrete Weir,INT,"Interrogation site to monitor/research salmon and steelhead life cycles, juvenile coho life history diversity, contributions of the various juvenile coho life histories (fall migrants, winter migrants, spring (smolt) migrants) to adult escapement, improve adult escapement estimates and improve SARs for coho and steelhead in the lower Columbia. The antennas are installed in the fishway of a decommissioned electric weir. "
ABEH,JDA,Abernathy SCTC,MRR,Hatchery
ABERC,JDA,"Abernathy Creek, Lower Columbia River, Washington",MRR,River
ANTELC,JDA,Antelope Creek - tributary to Trout Creek (TROU2C) in the Deschutes River basin,MRR,River
ASMEBR,JDA,Astoria-Megler Bridge ,MRR,AvianColony
B1J,JDA,BONNEVILLE PH1 JUVENILE,INT,Flat Plate Detector in the Bonneville Dam PH1 Downstream Migrant Bypass Channel
B2A,JDA,BONNEVILLE ADULT WA SHORE,INT,Adult Fish Facility in the WA Shore Fishway at Bonneville Dam; replaced by BO3
B2J,JDA,Bonneville PH2 Juvenile,INT,This site monitors the juvenile bypass and sampling facility of the second powerhouse at Bonneville Dam. The site operates seasonally for juvenile outmigration and includes antennas in the full flow bypass flume that is often active before and after the sampling facility each year. Separation by Code is also available to allow researchers to selectively divert PIT-tagged fish to two separate sample tanks for additional sampling.
BAD,JDA,Barrier Dam,MRR,Dam
BAKEOC,JDA,"Bakeoven Creek, Deschutes River Basin",MRR,River
BCC,JDA,BON PH2 Corner Collector,INT,This site monitors the Bonneville Dam second powerhouse corner collector outfall channel. It consists of one large antenna through which the channel flows. This site is operated seasonally when the corner collector is used to pass large debris.
BCHINL,JDA,Lake Billy Chinook,MRR,Other
BCL,JDA,Big Cliff Dam - North Santiam River,MRR,Dam
BCLFBY,JDA,BCL - Release into the Forebay within 0.5 km upstream of Dam,MRR,IntraDamReleaseSite
BCLTAL,JDA,BCL - Release into the Tailrace within 0.5 km downstream of Dam,MRR,IntraDamReleaseSite
BEAR3C,JDA,"Bear Creek, Columbia River Estuary, Oregon",MRR,River
BERRYC,JDA,Berry Creek - Clackamas Subbasin,MRR,River
BHL,JDA,Adult Fishway at BONH,INT,"In-stream detection system consisting of a tandem array located in Bonneville Hatchery Ladder. The array (BHL) located at river km 0.01 on Tanner Creek (N 45.632678  W -121.957909 ) consists of two arrays, deployed serially 3 m apart, of two 6 ft Biomark pass-through antennas each. BHL was initially installed on July 13, 2011 by WDFW and was re-deployed in 2012-2014 during the adult fish collection period (mid-August to early December) at Bonneville Hatchery.  WDFW served as the data steward for this site during 2011-2013, and ODFW assumed responsibility in 2014.  Electrical power for the site is provided by two 6v batteries which are changed out 1-2 times per week.  Detection records are downloaded approximately once per week."
BIG1C,JDA,"Big Creek, lower Columbia River near Knappa, OR",MRR,River
BIGC,JDA,Big Creek Hatchery (ODFW) near Knappa,MRR,Hatchery
BIGWSP,JDA,Big White Salmon Ponds,MRR,AcclimationPond
BLKBAS,JDA,"Blackberry Acc. Site, WF Hood River",MRR,AcclimationPond
BLNDSL,JDA,Blind Slough Net Pens (Oregon side of Columbia River Estuary),MRR,AcclimationPond
BLUEC,JDA,"Blue Creek, Klickitat River Basin",MRR,River
BO1,JDA,Bonneville Bradford Is. Ladder,INT,"This site monitors the Bradford Island fish ladder at Bonneville Dam. The ladder has two branches, one from the northeast side of the island and one from the southwest side, that meet below the visitor center and exit above the first powerhouse. Weir antennas are installed in most weirs in both the A and B branches. These antennas detect fish that pass through the weir orifices, but likely miss fish that pass over the weirs. There are also four antennas in the vertical slots above the counting window, that provide 99% detection efficiency. In 2018, two antennas were added that monitor the lamprey passage structure."
BO1BYP,JDA,BON - Release into PH1 Juvenile Facility Bypass Flume/Pipe,MRR,IntraDamReleaseSite
BO1GWL,JDA,BON - Release into PH1 Gatewell(s),MRR,IntraDamReleaseSite
BO2,JDA,Bonneville Cascades Is. Ladder,INT,"This site monitors the Cascades Island fish ladder at Bonneville Dam. Though this ladder has an exit above the dam into the forebay, picketed leads generally route traffic into the Upstream Migrant Transportation (UMT) channel that leads to the Washington Shore ladder. Fish detected at BO2 and heading upstream would be expected to be detected at BO3 and then BO4 afterwards, unless the UMT is closed, in which case they will exit into the forebay above Cascades Island. The original antennas were installed in the weir orifices below the UMT in 2002. In 2018, two antennas were installed in the lamprey passage structure that exits into the forebay above the island. Beginning in February 2022, the original weir orifice antennas were retired and four new antennas were installed; two antennas monitor the UMT entrance and two antennas at the counting window. The counting window antennas will only receive traffic if the UMT is closed and ascending fish pass by the counting window and exit into the forebay."
BO2BCC,JDA,BON - Release into the PH2 Bypass Corner Collector,MRR,IntraDamReleaseSite
BO2BYP,JDA,BON - Release into the PH2 Juvenile Facility Bypass Flume/Pipe,MRR,IntraDamReleaseSite
BO2GAT,JDA,BON - Release into the PH2 Juvenile Facility Flume between the Separator Exit and the Primary PIT-Tag Diversion Gate,MRR,IntraDamReleaseSite
BO2GWL,JDA,BON - Release into PH2 Gatewell(s),MRR,IntraDamReleaseSite
BO2ORI,JDA,BON - Release into PH2 Orifice(s),MRR,IntraDamReleaseSite
BO2RRR,JDA,BON - Release below the PH2 Juvenile Facility PIT-Tag Diversion System Gate with subsequent Return to the River,MRR,IntraDamReleaseSite
BO3,JDA,Bonneville WA Shore Ladder/AFF,INT,This site monitors the Washington Shore fish ladder and the adult fish facility (AFF).  Antennas are installed in the weir orifices downstream and upstream of the AFF. There are also antennas installed in the two sample flumes in the AFF. Separation by Code is available at the AFF in the form of notification lights when designated PIT tags are detected in the sample flumes. Fish detected at BO3 and heading upstream are expected to be detected at BO4 afterwards.
BO4,JDA,Bonneville WA Ladder Slots,INT,"This site monitors the vertical slot portion of the Washington Shore fish ladder above the adult fish facility (AFF) and the counting window. Fish detected at BO4 and travelling upstream are expected to have been detected at BO2 and/or BO3 before BO4. In 2018, two antennas were added the lamprey passage structure."
BON,JDA,Bonneville Dam Complex,MRR,Dam
BONAFF,JDA,BON - Adult Fish Facility,MRR,IntraDamReleaseSite
BONH,JDA,Bonneville Hatchery,MRR,Hatchery
BONLD1,JDA,BON - Release into the Bradford Island Adult Fish Ladder,MRR,IntraDamReleaseSite
BONLD2,JDA,BON - Release into the Cascades Island Adult Fish Ladder,MRR,IntraDamReleaseSite
BONLD3,JDA,BON - Release into the Washington Shore Adult Fish Ladder,MRR,IntraDamReleaseSite
BONMRT,JDA,BON - Mortality Recovery,MRR,IntraDamReleaseSite
BOWMNC,JDA,"Bowman Creek, tributary to Little Klickitat River",MRR,River
BREITR,JDA,"Breitenbush River, North Santiam River Basin",MRR,River
BRUS2C,JDA,"Brush Creek, Klickitat River Basin",MRR,River
BUCK3C,JDA,"Buck Creek, White Salmon River Basin (WA)",MRR,River
BUCKHC,JDA,"Buckhollow Creek, Deschutes River Basin",MRR,River
BVJ,JDA,BONNEVILLE DAM DMS1 SUBSAMPLE,INT,Bonneville Dam PH1 Juvenile Bypass (DSM1) sub-sample
BVX,JDA,Bonneville PH1 Juvenile (Exp.),INT,Flat Plate Detector (experimental) at Bonneville Dam PH1 DSM; replaced by B1J
BWL,JDA,Bonneville WA Shore Ladder,INT,Washington Shore Adult Fishway at Bonneville Dam; replaced by BO3
CAL,JDA,Carson NFH Adult Return Ladder,INT,Hatchery adult spring Chinook return ladder from the Wind River to Carson NFH.
CALAPR,JDA,Calapooia River,MRR,River
CAMPSL,JDA,"Campbell Slough, Lower Columbia",MRR,River
CANDLC,JDA,"Candle Creek, tributary to the Metolius River",MRR,River
CANY3C,JDA,"Canyon Creek, tributary to the Metolius River",MRR,River
CARS,JDA,Carson National Fish Hatchery,MRR,Hatchery
CBD,JDA,Clear Branch Dam,MRR,Dam
CBDFBY,JDA,CBD - Release into the Forebay within 0.5 km upstream of Dam,MRR,IntraDamReleaseSite
CBL,JDA,Clear Branch below the Dam,INT,The interrogation site is an instream array in lower Clear Branch located approximately 500m downstream of the Clear Branch Dam. The site uses a single 15 ft PVC cased antenna installed in a pass-over configuration in the tailout of a pool where Middle Fork Irrigation District has a stream gauge. The interrogation site may be operated seasonally or year round depending on winter access and specific needs for monitoring projects or passage studies occurring at Clear Branch Dam. The antenna is controlled by a Biomark IS1001 ACN reader. Power is provided by solar panel(s) charging a deep cycle battery bank. Interrogation data is manually downloaded periodically. Site is no longer active.
CBS,JDA,Clear Branch Dam spillway,INT,The interrogation site is located at the spillway of Clear Branch Dam. The site uses a single 10 ft x 2 ft PVC cased antenna mounted on the entrance of the spillway in a pass-through configuration. During moderate to low spillway flows all water spilling from the reservoir passes through a notch in the spillway entrance which the antenna completely surrounds. At high spillway flows water may top the spillway retaining wall outside of the coverage of the antenna. The interrogation site will be operated seasonally depending on when the reservoir is at full pool and spill is occurring at Clear Branch Dam. The antenna is controlled by a Biomark IS1001 ACN reader. Power is provided by solar panel(s) charging a deep cycle battery bank. Interrogation data is manually downloaded periodically.
CCC,JDA,"Carrolls Channel, Lwr Col Riv",INT,"The Upper Carrolls Channel site is located upstream of the Cowlitz River, near Longview, WA. The goal at this site is to detect juvenile fish that may take refuge in off channel areas during their migration.  There are three multiplexors at this site with each MUX driving two parallel arrays of three antennas each.  The 3' x 10' hybrid antennas are designed to allow fish to pass both through the antennas and over the top of them depending on tidal flux.  Because the antennas can pivot up and down with the tidal flux they are capable of sampling the entire water column. Each pair of antenna arrays is deployed approximately 60-90' offshore from its MUX at high water."
CEDARC,JDA,"Cedar Creek, tributary to Lewis River",MRR,River
CFD,JDA,Cowlitz Falls Dam,INT,"Upstream most dam on Cowlitz River. As of 2014 fish facilities include 3 sets of PIT tag readers. One associated with each of the spillway #2 and #3 flumes, and one downstream of the Cowlitz Falls Fish Facility following fish handling. In April 2017, 3 antennas were installed in the Cowlitz Falls North Shore Collector, and 2 sets of 2 antennas each were installed downstream of the separator to support sort by code operations. In 2023, transceiver 20 (previously used for antennas 20-26) was replaced and updated to four IS1001 standalone transceivers. Each new transceiver is associated with one exit route antenna. Antenna 31 is for the hopper. Antenna 32 is for the fry raceway. Antenna 33 is for the smolt raceways. Antenna 34 is for a new location, the transport tank."
CFD,JDA,Cowlitz Falls Dam,MRR,Dam
CFDNSC,JDA,CFD - Release into North Shore Collector Flume,MRR,IntraDamReleaseSite
CFDSF2,JDA,CFD - Release directly into spillway flume 2,MRR,IntraDamReleaseSite
CFDSF3,JDA,CFD - Release directly into spillway flume 3,MRR,IntraDamReleaseSite
CFDTAL,JDA,CFD - Release into the Tailrace within 0.5 km downstream of Dam,MRR,IntraDamReleaseSite
CFF,JDA,Castile Falls Fishway,INT,This site monitors the Castile Falls fishway on the Klickitat River. There are three antennas installed in a vertical slot orientation and all fish passing through the fishway must pass through the antennas.
CGJ,JDA,Cougar Dam PFFC,INT,This site contains one IS1001 PIT tag antenna. The antenna is located  in the U. S. Army Corps of Engineers Portable Floating Fish Collector(PFFC) located in front of the temperature control tower at Cougar Dam.  This PFFC was designed to collect juvenile migrating fish above Cougar Dam. Use of the trap was discontinued in 2016.
CGR,JDA,Cougar Dam,MRR,Dam
CGRREG,JDA,CGR - Release into the Regulating Channel of the Tailrace within 0.5 km of Dam,MRR,IntraDamReleaseSite
CGRTAL,JDA,CGR - Release into the Tailrace within 0.5 km downstream of Dam,MRR,IntraDamReleaseSite
CGRTUR,JDA,CGR - Release into the Turbine Channel of the Tailrace within 0.5 km of Dam,MRR,IntraDamReleaseSite
CHENC,JDA,"Chenoweth Creek, The Dalles",MRR,River
CHINOR,JDA,"Chinook River, Washington (Columbia River Estuary)",MRR,River
CIC,JDA,"Cottonwood Island, Lwr Col Rvr",INT,"The Cottonwood Island site is located upstream of the Cowlitz River, near Longview, WA. The goal at this site is to detect juvenile fish that may take refuge in off channel areas during their migration.  There are three multiplexors at this site with each MUX driving two parallel arrays of three antennas each.  The 3' x 10' hybrid antennas are designed to allow fish to pass both through the antennas and over the top of them depending on tidal flux.  Because the antennas can pivot up and down with the tidal flux they are capable of sampling the entire water column. Each pair of antenna arrays is deployed approximately 60-90' offshore from its MUX at high water."
CISPUR,JDA,Cispus River - tributary to Cowlitz River,MRR,River
CLCKMS,JDA,Clackamas River,MRR,River
CLEA3C,JDA,Clear Creek - tributary to Muddy River,MRR,River
CLEARP,JDA,Clear Creek Acclimation Pond,MRR,AcclimationPond
CLRBR,JDA,"Clear Branch, Middle Fork Hood River Watershed",MRR,River
COWEAP,JDA,Coweeman Acclimation Pond,MRR,AcclimationPond
COWEER,JDA,"Coweeman River, tributary to Cowlitz River",MRR,River
COWLR1,JDA,Cowlitz River - mouth to Cispus River (km 0-135),MRR,RiverSegment
COWLR2,JDA,Cowlitz River - Cispus River to Clear Fork (km 135-202),MRR,RiverSegment
COWS,JDA,Cowlitz Salmon Hatchery,MRR,Hatchery
COWT,JDA,Cowlitz Trout Hatchery,MRR,Hatchery
CR1,JDA,Chinook River Sea Resources CF,INT,"This is an in-stream interrogation system located near the Sea Resources Hatchery adult fish facility, on the Chinook River in the Columbia River Estuary near Chinook, Washington."
CRABP,JDA,Crab Creek Acclimation Pond,MRR,AcclimationPond
CROOK1,JDA,Crooked River - Lake Billy Chinook to Prineville Reservoir (km 0-113),MRR,RiverSegment
CSH,JDA,Cowlitz Salmon Hatchery Ladder,INT,The site is located at the Cowlitz Salmon Hatchery adult ladder and sorting table. Antenna 01 is a pass-through antenna on the ladder. Antenna 02 is a hand-held racket antenna at the hatchery adult sorting table that personnel wave over each fish. Each antenna is powered by an IS1001 reader. Data is downloaded and submitted to PTAGIS by Biomark every 4 hours via a cell modem.
CUBC,JDA,Cub Creek - Clackamas Subbasin,MRR,River
CUNNSL,JDA,Cunningham Slough,MRR,River
DBH,JDA,Buck Hollow Ck Deschutes Trib,INT,"INSTREAM DETECTION ARRAY IN BUCK HOLLOW CREEK, A TRIBUTARY TO THE DESCHUTES RIVER. THE SITE IS APPROXIMATELY 1/4 MILE FROM THE MOUTH OF BUCK HOLLOW CREEK AND CONSISTS OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND THREE ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF THREE ANTENNAS, EACH OF WHICH SPAN THE NORMAL HIGH WATER MARK AND ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS SOLAR AND WIND POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND."
DBO,JDA,Bakeoven Ck Deschutes Trib,INT,"INSTREAM DETECTION ARRAY IN BAKEOVEN CREEK, A TRUBUTARY TO THE DESCHUTES RIVER. THE SITE IS APPROXIMATELY 1/4 MILE FROM THE MOUTH OF BAKEOVEN CREEK AND CONSISTS OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF THREE ARRAYS OF TWO ANTENNAS EACH. THE TWO ANTENNAS IN EACH ARRAY ARE PLACED SIDE-BY-SIDE TO SPAN THE CREEK FOR THE NORMAL HIGH WATER MARK AND ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND."
DEEPR,JDA,"Deep River, tributary to Columbia River",MRR,River
DESCH1,JDA,Deschutes River - mouth to Round Butte Dam (0-177 km),MRR,RiverSegment
DESCH2,JDA,Deschutes River - Round Butte Dam to headwaters (177-393 km),MRR,RiverSegment
DET,JDA,"Detroit Dam (USACE), North Santiam River",MRR,Dam
DETFBY,JDA,DET - Release into the Forebay within 0.5 km upstream of Dam,MRR,IntraDamReleaseSite
DETTAL,JDA,DET - Release into the Tailrace within 0.5km downstream of Dam,MRR,IntraDamReleaseSite
DEX,JDA,"Dexter Dam (USACE), Middle Fork Willamette River",MRR,Dam
DEXTAL,JDA,DEX - Release into the Tailrace within 0.5km downstream of Dam,MRR,IntraDamReleaseSite
DILACC,JDA,"Dillacort Creek, Klickitat River",MRR,River
DOGRVR,JDA,"Dog River, tributary to EF Hood River (OR)",MRR,River
DRANOL,JDA,Drano Lake,MRR,Other
DRIFTC,JDA,Drift Creek - tributary to Lewis River,MRR,River
DRM,JDA,Deschutes River mouth,INT,"Instream interrogation site originally installed February-March 2013 with 12 antennas (7 in the upstream array and 5 in the downstream array) in the west channel at Moody Island, using a Biomark IS1001-MTS. Site stopped submitting data August 2019 and was marked as inactive in 2021. The site was reinstalled August 2023 about 70 meters upstream from its original position. This new configuration consists of 10 antennas total with 5 in the upstream array and 5 in the downstream array. The antennas are positioned to primarily detect tags in fish traveling between Moody Island and the left bank of the river."
DRNP,JDA,"Deep River Net Pens (Deep River, Washington)",MRR,AcclimationPond
DRYC,JDA,"Dry Creek, tributary to Fifteenmile Creek",MRR,River
DSF,JDA,Deschutes Sherars Falls,INT,Site consists of two monitored weirs in the main fishway and two monitored weirs in the high flow fishway; one antenna per weir.
DXP,JDA,Dexter Ponds Fish Ladder,INT,"Detection array located inside the fish ladder leading to Dexter Ponds Fish Hatchery on the north bank of the Middle Fork Willamette River below Dexter Dam. Array consists of two antennas operated by IS1001 nodes communicating through a cell modem. Antennas are placed in-line, with each antenna spanning the full width of the ladder, and designed for pass-through detection. Site is grid powered and operates year-round. Site is on ODFW property. Site is no longer active."
EAG2NF,JDA,"North Fork Eagle Creek, Clackamas River Basin",MRR,River
EAGH,JDA,"Eagle Creek National Fish Hatchery, Clackamas River Basin",MRR,Hatchery
EAGL2C,JDA,"Eagle Creek, Clackamas River Basin",MRR,River
ECH,JDA,Eagle Creek Hatchery Ladder,INT,"A single pass through antenna is located inside the fish ladder at Eagle Creek National Fish Hatchery in Estacada, OR Site was decommissioned March 2015.. Site was decommissioned March 2015."
ECL,JDA,Eagle Creek Lower Fish Ladder,INT,"A single pass through antenna is located inside the lower fish ladder on Eagle Creek in Estacada, OR. Site was decommissioned May 2015."
EFD,JDA,East Fork Diversion Fishway,INT,The interrogation site is located in a fish ladder at a irrigation diversion site for the East Fork Irrigation District on the East Fork of the Hood River. The ladder is a vertical slot type construction. Two antennas are installed in a pass through configuration at two of the vertical slots at the downstream end of the ladder. At the upstream terminus of the ladder there is an adult trap that is intermittently operated. The fish ladder and interrogation site is operated seasonally cooresponding to the irrigation season (March to October). The antennas are controlled by two synced Biomark IS1001 ACN readers. Power is provided by solar panel(s) charging a deep cycle battery bank. Interrogation data is manually downloaded periodically.
EFHORC,JDA,"East Fork Horse Creek, McKenzie River Basin",MRR,Archaic
EIGH2C,JDA,"Eightmile Creek, Fifteenmile Creek Watershed",MRR,River
ELRH,JDA,"Elochoman River Hatchery (Elochoman River, Washington)",MRR,Hatchery
ESANIS,JDA,"East Sand Island, Columbia River",MRR,AvianColony
FAL,JDA,"Fall Creek Dam (USACE), MF Willamette River",MRR,Dam
FALL2C,JDA,"Fall Creek, MF Willamette River Basin",MRR,River
FALTAL,JDA,FAL - Release into the Tailrace within 0.5 km downstream of Dam,MRR,IntraDamReleaseSite
FID,JDA,"Farmer's Diversion, Hood River",INT,The interrogation site is located in the channel that returns water from the Farmers Irrigation District main diversion and screen facility to the mainstem Hood River. The antenna is in a pass through configuration that encompases virtually the entire channel cross section.
FIVE2C,JDA,"Fivemile Creek, Fifteen Mile Creek Watershed",MRR,River
FOL,JDA,Foster Dam Ladder S Santiam R,INT,"Fish Ladder detection array at the Foster Dam Fish Collection Facility on the South Santiam River, a tributary to the Willamette River. The array is located in the fish ladder at the Foster Dam Collection facility near Sweet Home, Oregon. The site is monitored by an IS-1001-MC and five IS1001-ACNs. The hardware at the site includes the master controller, 5x ACNs, cell modem, power supply, and five antennas. The antennas are custom-built pass-thru antennas with ferrite shielding and 10 ga Litz-wire (the Flume Antennas are 12 ga ribbon wire). Two antennas are side by side in the collection flume, one antenna is near the midpoint of the ladder near the powerhouse, and two antennas are on the downstream end of the ladder. The site is powered by grid power, with battery back-up and a charging switch for alternating battery-banks. The site is on Federal property (Portland District US Army Corps of Engineers). The collection facility is managed by the Oregon Department of Fish and Wildlife. Site is no longer active."
FOS,JDA,Foster Dam Weir,INT,"The Foster Dam Weir antenna is located in spillway #4 at Foster Dam on the South Santiam River just upstream from the town of Sweet Home, Oregon. The site consists of two ferrite shielded flat plate antennas. Each antenna housing measures 11-feet by 42-inches. One antenna is mounted on each side of the weir opening. Two IS1001-ACN transceivers are mounted on the rear of the weir and have a 6-foot antenna lead. CAN-Bus (+power) cable connects the ACNs to one another and to the IS1001 MTS-MC. Site was removed in January 2018"
FOS,JDA,"Foster Dam, South Santiam River",MRR,Dam
FOSFBY,JDA,FOS - Release into the Forebay within 0.5 km upstream of Dam,MRR,IntraDamReleaseSite
FOSTAL,JDA,FOS - Release into the Tailrace within 0.5 km downstream of Dam,MRR,IntraDamReleaseSite
FRFH,JDA,Fall River Fish Hatchery,MRR,Hatchery
GEECR,JDA,"Gee Creek, Washington, lower Columbia River",MRR,River
GERMC,JDA,"Germany Creek, Lower Columbia River, Washington",MRR,River
GM1,JDA,Lower Germany Creek,INT,"Interrogation site to monitor/research: salmon and steelhead life cycles, juvenile coho life history diversity, contributions of the various juvenile coho life histories (fall migrants, winter migrants, spring (smolt) migrants) to adult escapement, improve SARs for coho and steelhead in the lower Columbia."
GPD,JDA,Green Peter Dam,MRR,Dam
GPDTAL,JDA,GPD - Release into the Tailrace within 0.5 km downstream of Dam,MRR,IntraDamReleaseSite
GRAYSR,JDA,"Grays River, Washington, lower Columbia River",MRR,River
GREENR,JDA,"Green River, trib. to NF Toutle River",MRR,River
GREEPC,JDA,Green Point Creek (tributary to West Fork Hood River),MRR,River
HCR,JDA,"Hills Creek Dam, Middle Fork Willamette River",MRR,Dam
HCRFBY,JDA,HCR - Release into the Forebay within 0.5 km upstream of Dam,MRR,IntraDamReleaseSite
HCRREG,JDA,HCR - Release into the Regulating Channel of the Tailrace within 0.5 km of Dam,MRR,IntraDamReleaseSite
HCRTAL,JDA,HCR - Release into the Tailrace within 0.5 km downstream of Dam,MRR,IntraDamReleaseSite
HCRTUR,JDA,HCR - Release into the Turbine Channel of the Tailrace within 0.5 km of Dam,MRR,IntraDamReleaseSite
HERMAC,JDA,"Herman Creek, Columbia River Gorge (OR)",MRR,River
HLK,JDA,"Hemlock Dam, Wind River (WA) watershed",MRR,Dam
HLKTAL,JDA,HLK - Release into the Tailrace within 0.5 km downstream of Dam,MRR,IntraDamReleaseSite
HLX,JDA,Hemlock Dam Fish Ladder Exp.,INT,"This experimental interrogation system was located in the adult fish passage ladder at Hemlock Dam, on Trout Creek in the Wind River (WA) Basin."
HOODEF,JDA,East Fork Hood River,MRR,River
HOODMF,JDA,Middle Fork Hood River,MRR,River
HOODR,JDA,Hood River,MRR,River
HOODWF,JDA,West Fork Hood River,MRR,River
HORS2C,JDA,"Horse Creek, upper McKenzie River Basin",MRR,River
HRM,JDA,Hood River Mouth,INT,An instream interrogation system consisting of 2 antenna arrays located at the mouth of the Hood River. The antennas are against the west side jetty just inside the bar where the Hood River meets the Columbia River. The upstream array is comprised of five 20 foot antennas covering a total of 100 feet from shore. The downstream array is comprised of two 20 foot antennas that extend 40 feet from shore. The antenna arrays cover approximately 3/4 the stream width at low water conditions and a half of the stream at bank full. The transceiver is a IS1001-MTS and power is provided by solar panels charging a battery bank. Interrogation data is submitted several times a week via cellular modem.
JDA,JDA,John Day Dam,MRR,Dam
JDABYP,JDA,JDA - Release into the Facility Bypass Flume/Pipe,MRR,IntraDamReleaseSite
